province,type,tanggal,klasifikasi,all_available_room,room_total
Bali,Hotel,1/1/2020,Rated,2155,37756
Bali,Hotel,1/1/2020,Not Rated,163,392
Bali,Hotel,1/2/2020,Rated,3878,38814
Bali,Hotel,1/2/2020,Not Rated,211,415
Bali,Hotel,1/3/2020,Rated,5412,39084
Bali,Hotel,1/3/2020,Not Rated,256,444
Bali,Hotel,1/4/2020,Rated,7786,39310
Bali,Hotel,1/4/2020,Not Rated,306,483
Bali,Hotel,1/5/2020,Rated,7956,39334
Bali,Hotel,1/5/2020,Not Rated,273,448
Bali,Hotel,1/6/2020,Rated,9238,39553
Bali,Hotel,1/6/2020,Not Rated,266,423
Bali,Hotel,1/7/2020,Rated,9565,39595
Bali,Hotel,1/7/2020,Not Rated,323,473
Bali,Hotel,1/8/2020,Rated,12530,45832
Bali,Hotel,1/8/2020,Not Rated,1014,1285
Bali,Hotel,1/9/2020,Rated,12183,45396
Bali,Hotel,1/9/2020,Not Rated,965,1251
Bali,Hotel,1/10/2020,Rated,11406,45395
Bali,Hotel,1/10/2020,Not Rated,814,1112
Bali,Hotel,1/11/2020,Rated,11409,45831
Bali,Hotel,1/11/2020,Not Rated,995,1277
Bali,Hotel,1/12/2020,Rated,12516,45825
Bali,Hotel,1/12/2020,Not Rated,767,1052
Bali,Hotel,1/13/2020,Rated,12669,45748
Bali,Hotel,1/13/2020,Not Rated,840,1129
Bali,Hotel,1/14/2020,Rated,12928,45681
Bali,Hotel,1/14/2020,Not Rated,740,1020
Bali,Hotel,1/15/2020,Rated,12164,45495
Bali,Hotel,1/15/2020,Not Rated,682,968
Bali,Hotel,1/16/2020,Rated,11325,45223
Bali,Hotel,1/16/2020,Not Rated,428,722
Bali,Hotel,1/17/2020,Rated,11305,45320
Bali,Hotel,1/17/2020,Not Rated,474,781
Bali,Hotel,1/18/2020,Rated,11784,45270
Bali,Hotel,1/18/2020,Not Rated,459,766
Bali,Hotel,1/19/2020,Rated,10871,39667
Bali,Hotel,1/19/2020,Not Rated,250,416
Bali,Hotel,1/20/2020,Rated,12864,45203
Bali,Hotel,1/20/2020,Not Rated,500,795
Bali,Hotel,1/21/2020,Rated,8998,36211
Bali,Hotel,1/21/2020,Not Rated,20,104
Bali,Hotel,1/22/2020,Rated,12350,45011
Bali,Hotel,1/22/2020,Not Rated,392,685
Bali,Hotel,1/23/2020,Rated,10964,43311
Bali,Hotel,1/23/2020,Not Rated,386,643
Bali,Hotel,1/24/2020,Rated,11141,45184
Bali,Hotel,1/24/2020,Not Rated,504,783
Bali,Hotel,1/25/2020,Rated,10511,44538
Bali,Hotel,1/25/2020,Not Rated,493,785
Bali,Hotel,1/26/2020,Rated,11327,43468
Bali,Hotel,1/26/2020,Not Rated,393,606
Bali,Hotel,1/27/2020,Rated,12535,43243
Bali,Hotel,1/27/2020,Not Rated,503,774
Bali,Hotel,1/28/2020,Rated,11044,42099
Bali,Hotel,1/28/2020,Not Rated,232,417
Bali,Hotel,1/30/2020,Rated,12313,42292
Bali,Hotel,1/30/2020,Not Rated,229,416
Bali,Hotel,1/31/2020,Rated,9593,37915
Bali,Hotel,1/31/2020,Not Rated,31,103
Bali,Hotel,2/3/2020,Rated,13967,45637
Bali,Hotel,2/3/2020,Not Rated,456,736
Bali,Hotel,2/4/2020,Rated,13755,45656
Bali,Hotel,2/4/2020,Not Rated,439,712
Bali,Hotel,2/5/2020,Rated,13169,45569
Bali,Hotel,2/5/2020,Not Rated,430,727
Bali,Hotel,2/6/2020,Rated,13714,45537
Bali,Hotel,2/6/2020,Not Rated,441,728
Bali,Hotel,2/10/2020,Rated,13880,45529
Bali,Hotel,2/10/2020,Not Rated,433,695
Bali,Hotel,2/11/2020,Rated,13880,45855
Bali,Hotel,2/11/2020,Not Rated,406,714
Bali,Hotel,2/12/2020,Rated,14428,46347
Bali,Hotel,2/12/2020,Not Rated,403,690
Bali,Hotel,2/14/2020,Rated,12544,46038
Bali,Hotel,2/14/2020,Not Rated,405,709
Bali,Hotel,2/15/2020,Rated,12733,46261
Bali,Hotel,2/15/2020,Not Rated,416,712
Bali,Hotel,2/16/2020,Rated,14460,46418
Bali,Hotel,2/16/2020,Not Rated,436,718
Bali,Hotel,2/17/2020,Rated,14585,45915
Bali,Hotel,2/17/2020,Not Rated,460,730
Bali,Hotel,2/18/2020,Rated,14337,45783
Bali,Hotel,2/18/2020,Not Rated,437,722
Bali,Hotel,2/19/2020,Rated,14035,45769
Bali,Hotel,2/19/2020,Not Rated,434,732
Bali,Hotel,2/20/2020,Rated,13611,45736
Bali,Hotel,2/20/2020,Not Rated,397,705
Bali,Hotel,2/21/2020,Rated,23268,55336
Bali,Hotel,2/21/2020,Not Rated,421,729
Bali,Hotel,2/22/2020,Rated,12283,45420
Bali,Hotel,2/22/2020,Not Rated,385,682
Bali,Hotel,2/23/2020,Rated,13345,45732
Bali,Hotel,2/23/2020,Not Rated,441,724
Bali,Hotel,2/24/2020,Rated,13915,45733
Bali,Hotel,2/24/2020,Not Rated,476,729
Bali,Hotel,2/25/2020,Rated,33187,62289
Bali,Hotel,2/25/2020,Not Rated,386,635
Bali,Hotel,2/26/2020,Rated,13736,44616
Bali,Hotel,2/26/2020,Not Rated,436,676
Bali,Hotel,2/27/2020,Rated,13731,45563
Bali,Hotel,2/27/2020,Not Rated,451,707
Bali,Hotel,2/28/2020,Rated,13864,45561
Bali,Hotel,2/28/2020,Not Rated,414,691
Bali,Hotel,2/29/2020,Rated,13438,44865
Bali,Hotel,2/29/2020,Not Rated,417,684
Bali,Hotel,3/1/2020,Rated,16923,45693
Bali,Hotel,3/1/2020,Not Rated,542,704
Bali,Hotel,3/2/2020,Rated,17147,45817
Bali,Hotel,3/2/2020,Not Rated,516,706
Bali,Hotel,3/3/2020,Rated,17842,45792
Bali,Hotel,3/3/2020,Not Rated,527,696
Bali,Hotel,3/4/2020,Rated,16896,45707
Bali,Hotel,3/4/2020,Not Rated,520,705
Bali,Hotel,3/5/2020,Rated,16872,45693
Bali,Hotel,3/5/2020,Not Rated,546,714
Bali,Hotel,3/6/2020,Rated,17670,45339
Bali,Hotel,3/6/2020,Not Rated,539,697
Bali,Hotel,3/7/2020,Rated,17480,45348
Bali,Hotel,3/7/2020,Not Rated,524,696
Bali,Hotel,3/8/2020,Rated,17287,45462
Bali,Hotel,3/8/2020,Not Rated,559,719
Bali,Hotel,3/9/2020,Rated,17269,45752
Bali,Hotel,3/9/2020,Not Rated,524,725
Bali,Hotel,3/10/2020,Rated,27320,55278
Bali,Hotel,3/10/2020,Not Rated,561,718
Bali,Hotel,3/11/2020,Rated,18474,45425
Bali,Hotel,3/11/2020,Not Rated,531,718
Bali,Hotel,3/12/2020,Rated,19821,46274
Bali,Hotel,3/12/2020,Not Rated,552,728
Bali,Hotel,3/13/2020,Rated,39656,65692
Bali,Hotel,3/13/2020,Not Rated,602,745
Bali,Hotel,3/14/2020,Rated,40065,65426
Bali,Hotel,3/14/2020,Not Rated,564,740
Bali,Hotel,3/15/2020,Rated,22586,46674
Bali,Hotel,3/15/2020,Not Rated,581,742
Bali,Hotel,3/16/2020,Rated,32309,56167
Bali,Hotel,3/16/2020,Not Rated,545,726
Bali,Hotel,3/17/2020,Rated,23507,46937
Bali,Hotel,3/17/2020,Not Rated,624,749
Bali,Hotel,3/18/2020,Rated,53857,76609
Bali,Hotel,3/18/2020,Not Rated,635,776
Bali,Hotel,3/19/2020,Rated,24694,46863
Bali,Hotel,3/19/2020,Not Rated,649,767
Bali,Hotel,3/20/2020,Rated,24952,47065
Bali,Hotel,3/20/2020,Not Rated,719,815
Bali,Hotel,3/21/2020,Rated,34567,56283
Bali,Hotel,3/21/2020,Not Rated,662,788
Bali,Hotel,3/22/2020,Rated,55894,76300
Bali,Hotel,3/22/2020,Not Rated,707,813
Bali,Hotel,3/23/2020,Rated,75305,96343
Bali,Hotel,3/23/2020,Not Rated,677,755
Bali,Hotel,3/24/2020,Rated,27398,38485
Bali,Hotel,3/24/2020,Not Rated,401,479
Bali,Hotel,3/25/2020,Rated,46375,58041
Bali,Hotel,3/25/2020,Not Rated,403,479
Bali,Hotel,3/26/2020,Rated,26045,46870
Bali,Hotel,3/26/2020,Not Rated,659,734
Bali,Hotel,3/27/2020,Rated,75814,96410
Bali,Hotel,3/27/2020,Not Rated,673,756
Bali,Hotel,3/28/2020,Rated,27106,47716
Bali,Hotel,3/28/2020,Not Rated,697,771
Bali,Hotel,3/29/2020,Rated,26858,47584
Bali,Hotel,3/29/2020,Not Rated,740,811
Bali,Hotel,3/30/2020,Rated,58758,80100
Bali,Hotel,3/30/2020,Not Rated,367,444
Bali,Hotel,4/1/2020,Rated,21259,34835
Bali,Hotel,4/1/2020,Not Rated,312,388
Bali,Hotel,4/2/2020,Rated,20851,34397
Bali,Hotel,4/2/2020,Not Rated,316,394
Bali,Hotel,4/3/2020,Rated,20614,33503
Bali,Hotel,4/3/2020,Not Rated,312,390
Bali,Hotel,4/4/2020,Rated,19753,33067
Bali,Hotel,4/4/2020,Not Rated,316,392
Bali,Hotel,4/5/2020,Rated,21121,34045
Bali,Hotel,4/5/2020,Not Rated,318,396
Bali,Hotel,4/6/2020,Rated,33946,46570
Bali,Hotel,4/6/2020,Not Rated,576,653
Bali,Hotel,4/7/2020,Rated,33155,46342
Bali,Hotel,4/7/2020,Not Rated,537,659
Bali,Hotel,4/8/2020,Rated,34393,46844
Bali,Hotel,4/8/2020,Not Rated,529,656
Bali,Hotel,4/9/2020,Rated,34280,46936
Bali,Hotel,4/9/2020,Not Rated,526,649
Bali,Hotel,4/10/2020,Rated,35170,46957
Bali,Hotel,4/10/2020,Not Rated,522,634
Bali,Hotel,4/11/2020,Rated,35719,47962
Bali,Hotel,4/11/2020,Not Rated,537,645
Bali,Hotel,4/12/2020,Rated,34963,47123
Bali,Hotel,4/12/2020,Not Rated,539,647
Bali,Hotel,4/13/2020,Rated,36160,47990
Bali,Hotel,4/13/2020,Not Rated,512,619
Bali,Hotel,4/14/2020,Rated,36153,47180
Bali,Hotel,4/14/2020,Not Rated,532,643
Bali,Hotel,4/15/2020,Rated,56831,68135
Bali,Hotel,4/15/2020,Not Rated,523,641
Bali,Hotel,4/16/2020,Rated,39973,50353
Bali,Hotel,4/16/2020,Not Rated,594,651
Bali,Hotel,4/17/2020,Rated,40070,50074
Bali,Hotel,4/17/2020,Not Rated,588,646
Bali,Hotel,4/18/2020,Rated,40077,49991
Bali,Hotel,4/18/2020,Not Rated,585,647
Bali,Hotel,4/19/2020,Rated,40025,49971
Bali,Hotel,4/19/2020,Not Rated,586,659
Bali,Hotel,4/20/2020,Rated,38166,48101
Bali,Hotel,4/20/2020,Not Rated,554,634
Bali,Hotel,4/21/2020,Rated,42015,52246
Bali,Hotel,4/21/2020,Not Rated,621,698
Bali,Hotel,4/22/2020,Rated,39218,49081
Bali,Hotel,4/22/2020,Not Rated,611,690
Bali,Hotel,4/23/2020,Rated,40342,50063
Bali,Hotel,4/23/2020,Not Rated,621,701
Bali,Hotel,4/24/2020,Rated,40350,49958
Bali,Hotel,4/24/2020,Not Rated,639,711
Bali,Hotel,4/25/2020,Rated,24792,34001
Bali,Hotel,4/25/2020,Not Rated,251,336
Bali,Hotel,4/26/2020,Rated,21769,30959
Bali,Hotel,4/26/2020,Not Rated,249,326
Bali,Hotel,4/27/2020,Rated,21529,30961
Bali,Hotel,4/27/2020,Not Rated,249,320
Bali,Hotel,4/28/2020,Rated,24618,33856
Bali,Hotel,4/28/2020,Not Rated,224,294
Bali,Hotel,4/29/2020,Rated,21386,30616
Bali,Hotel,4/29/2020,Not Rated,221,294
Bali,Hotel,4/30/2020,Rated,19638,29764
Bali,Hotel,4/30/2020,Not Rated,231,303
Bali,Hotel,5/1/2020,Rated,31119,47520
Bali,Hotel,5/1/2020,Not Rated,598,730
Bali,Hotel,5/2/2020,Rated,36664,52977
Bali,Hotel,5/2/2020,Not Rated,592,731
Bali,Hotel,5/3/2020,Rated,37748,54035
Bali,Hotel,5/3/2020,Not Rated,592,727
Bali,Hotel,5/4/2020,Rated,31807,48621
Bali,Hotel,5/4/2020,Not Rated,595,727
Bali,Hotel,5/5/2020,Rated,35146,51704
Bali,Hotel,5/5/2020,Not Rated,610,737
Bali,Hotel,5/6/2020,Rated,31932,48353
Bali,Hotel,5/6/2020,Not Rated,603,732
Bali,Hotel,5/7/2020,Rated,32915,49864
Bali,Hotel,5/7/2020,Not Rated,586,729
Bali,Hotel,5/8/2020,Rated,32428,49512
Bali,Hotel,5/8/2020,Not Rated,585,733
Bali,Hotel,5/9/2020,Rated,30447,47681
Bali,Hotel,5/9/2020,Not Rated,591,743
Bali,Hotel,5/10/2020,Rated,33356,50132
Bali,Hotel,5/10/2020,Not Rated,606,756
Bali,Hotel,5/11/2020,Rated,32949,49770
Bali,Hotel,5/11/2020,Not Rated,599,745
Bali,Hotel,5/12/2020,Rated,32869,50026
Bali,Hotel,5/12/2020,Not Rated,598,745
Bali,Hotel,5/13/2020,Rated,36410,52547
Bali,Hotel,5/13/2020,Not Rated,594,744
Bali,Hotel,5/14/2020,Rated,34850,51405
Bali,Hotel,5/14/2020,Not Rated,597,746
Bali,Hotel,5/15/2020,Rated,35256,51495
Bali,Hotel,5/15/2020,Not Rated,555,692
Bali,Hotel,5/16/2020,Rated,33474,49875
Bali,Hotel,5/16/2020,Not Rated,547,688
Bali,Hotel,5/17/2020,Rated,36329,52443
Bali,Hotel,5/17/2020,Not Rated,541,685
Bali,Hotel,5/18/2020,Rated,34921,51293
Bali,Hotel,5/18/2020,Not Rated,534,687
Bali,Hotel,5/19/2020,Rated,36362,52385
Bali,Hotel,5/19/2020,Not Rated,555,678
Bali,Hotel,5/20/2020,Rated,35247,51511
Bali,Hotel,5/20/2020,Not Rated,551,682
Bali,Hotel,5/21/2020,Rated,36110,52669
Bali,Hotel,5/21/2020,Not Rated,557,681
Bali,Hotel,5/22/2020,Rated,35062,51708
Bali,Hotel,5/22/2020,Not Rated,565,689
Bali,Hotel,5/23/2020,Rated,36465,52479
Bali,Hotel,5/23/2020,Not Rated,551,678
Bali,Hotel,5/24/2020,Rated,35516,51412
Bali,Hotel,5/24/2020,Not Rated,633,688
Bali,Hotel,5/25/2020,Rated,33835,49962
Bali,Hotel,5/25/2020,Not Rated,566,681
Bali,Hotel,5/26/2020,Rated,17195,34262
Bali,Hotel,5/26/2020,Not Rated,254,374
Bali,Hotel,5/27/2020,Rated,17687,33727
Bali,Hotel,5/27/2020,Not Rated,251,346
Bali,Hotel,5/28/2020,Rated,18380,35135
Bali,Hotel,5/28/2020,Not Rated,250,409
Bali,Hotel,5/29/2020,Rated,17983,33690
Bali,Hotel,5/29/2020,Not Rated,249,411
Bali,Hotel,5/30/2020,Rated,16659,32539
Bali,Hotel,5/30/2020,Not Rated,261,419
Bali,Hotel,5/31/2020,Rated,17249,33340
Bali,Hotel,5/31/2020,Not Rated,259,418
Bali,Hotel,6/1/2020,Rated,21723,40000
Bali,Hotel,6/1/2020,Not Rated,274,426
Bali,Hotel,6/2/2020,Rated,33850,52838
Bali,Hotel,6/2/2020,Not Rated,518,673
Bali,Hotel,6/3/2020,Rated,33920,52780
Bali,Hotel,6/3/2020,Not Rated,507,664
Bali,Hotel,6/4/2020,Rated,33704,50624
Bali,Hotel,6/4/2020,Not Rated,566,665
Bali,Hotel,6/5/2020,Rated,35017,51888
Bali,Hotel,6/5/2020,Not Rated,504,653
Bali,Hotel,6/6/2020,Rated,34879,51784
Bali,Hotel,6/6/2020,Not Rated,572,654
Bali,Hotel,6/7/2020,Rated,34882,51863
Bali,Hotel,6/7/2020,Not Rated,574,661
Bali,Hotel,6/8/2020,Rated,34864,51866
Bali,Hotel,6/8/2020,Not Rated,577,659
Bali,Hotel,6/9/2020,Rated,30471,47876
Bali,Hotel,6/9/2020,Not Rated,561,644
Bali,Hotel,6/10/2020,Rated,35254,51413
Bali,Hotel,6/10/2020,Not Rated,574,657
Bali,Hotel,6/11/2020,Rated,36609,52704
Bali,Hotel,6/11/2020,Not Rated,578,661
Bali,Hotel,6/12/2020,Rated,36871,52848
Bali,Hotel,6/12/2020,Not Rated,564,653
Bali,Hotel,6/13/2020,Rated,35637,51662
Bali,Hotel,6/13/2020,Not Rated,585,668
Bali,Hotel,6/14/2020,Rated,35668,51849
Bali,Hotel,6/14/2020,Not Rated,594,670
Bali,Hotel,6/15/2020,Rated,35026,51804
Bali,Hotel,6/15/2020,Not Rated,601,676
Bali,Hotel,6/16/2020,Rated,33407,50785
Bali,Hotel,6/16/2020,Not Rated,597,671
Bali,Hotel,6/17/2020,Rated,35016,51825
Bali,Hotel,6/17/2020,Not Rated,591,671
Bali,Hotel,6/18/2020,Rated,35128,51851
Bali,Hotel,6/18/2020,Not Rated,598,672
Bali,Hotel,6/19/2020,Rated,31354,48341
Bali,Hotel,6/19/2020,Not Rated,599,679
Bali,Hotel,6/20/2020,Rated,36954,53105
Bali,Hotel,6/20/2020,Not Rated,605,679
Bali,Hotel,6/21/2020,Rated,32448,48597
Bali,Hotel,6/21/2020,Not Rated,587,671
Bali,Hotel,6/22/2020,Rated,32053,48320
Bali,Hotel,6/22/2020,Not Rated,597,674
Bali,Hotel,6/23/2020,Rated,36831,53135
Bali,Hotel,6/23/2020,Not Rated,600,677
Bali,Hotel,6/24/2020,Rated,36462,52673
Bali,Hotel,6/24/2020,Not Rated,596,675
Bali,Hotel,6/25/2020,Rated,31638,48628
Bali,Hotel,6/25/2020,Not Rated,592,671
Bali,Hotel,6/26/2020,Rated,32029,48126
Bali,Hotel,6/26/2020,Not Rated,590,673
Bali,Hotel,6/27/2020,Rated,32684,48390
Bali,Hotel,6/27/2020,Not Rated,588,672
Bali,Hotel,6/28/2020,Rated,32597,48352
Bali,Hotel,6/28/2020,Not Rated,607,680
Bali,Hotel,6/29/2020,Rated,32441,48279
Bali,Hotel,6/29/2020,Not Rated,604,678
Bali,Hotel,6/30/2020,Rated,32860,48462
Bali,Hotel,6/30/2020,Not Rated,603,673
Bali,Hotel,7/1/2020,Rated,34661,52440
